method,task,metric,value
ours w/o vlm,flocking,spatial_variance,0.11450739219203193
ours w/o vlm,flocking,mean_dtw_distance,365.74143519624084
ours w/o vlm,flocking,spatial_variance,0.3012578027693595
ours w/o vlm,flocking,mean_dtw_distance,575.9785731245104
ours w/o vlm,flocking,spatial_variance,0.2905195893471565
ours w/o vlm,flocking,mean_dtw_distance,595.7263310327857
ours w/o vlm,flocking,spatial_variance,0.09956624991365642
ours w/o vlm,flocking,mean_dtw_distance,425.50796026736026
ours w/o vlm,flocking,spatial_variance,0.13250564242680218
ours w/o vlm,flocking,mean_dtw_distance,604.5869864296836
ours w/o vlm,flocking,spatial_variance,0.1458069304918302
ours w/o vlm,flocking,mean_dtw_distance,423.0103356428895
ours w/o vlm,flocking,spatial_variance,0.165267904961406
ours w/o vlm,flocking,mean_dtw_distance,466.0166144102244
ours w/o vlm,flocking,spatial_variance,0.3682194995645896
ours w/o vlm,flocking,mean_dtw_distance,124.6128299806237
ours w/o vlm,flocking,spatial_variance,0.1904609144478463
ours w/o vlm,flocking,mean_dtw_distance,402.1684400016743
ours w/o vlm,flocking,spatial_variance,0.09807839635727826
ours w/o vlm,flocking,mean_dtw_distance,440.48543747293206
ours w/o vlm,flocking,spatial_variance,0.2788353664338758
ours w/o vlm,flocking,mean_dtw_distance,108.32583850799583
ours w/o vlm,flocking,spatial_variance,0.33776731987326036
ours w/o vlm,flocking,mean_dtw_distance,120.3648172006873
ours w/o vlm,flocking,spatial_variance,0.11198358524471046
ours w/o vlm,flocking,mean_dtw_distance,393.859973570852
ours w/o vlm,flocking,spatial_variance,0.09541710080922694
ours w/o vlm,flocking,mean_dtw_distance,423.35357386359493
ours w/o vlm,flocking,spatial_variance,0.16502196457089763
ours w/o vlm,flocking,mean_dtw_distance,493.4996664641197
ours w/o vlm,flocking,spatial_variance,0.17266030378640695
ours w/o vlm,flocking,mean_dtw_distance,378.0210148918669
ours w/o vlm,flocking,spatial_variance,0.2552173754149847
ours w/o vlm,flocking,mean_dtw_distance,1083.78432146742
ours w/o vlm,flocking,spatial_variance,0.18939712575844941
ours w/o vlm,flocking,mean_dtw_distance,623.9921231319432
ours w/o vlm,flocking,spatial_variance,0.3106971298722466
ours w/o vlm,flocking,mean_dtw_distance,1195.1110231162058
ours w/o vlm,flocking,spatial_variance,0.09688266653657646
ours w/o vlm,flocking,mean_dtw_distance,357.32553205003643
ours w/o vlm,flocking,spatial_variance,0.12270321259807725
ours w/o vlm,flocking,mean_dtw_distance,446.09221464548364
ours w/o vlm,flocking,spatial_variance,0.283910752195451
ours w/o vlm,flocking,mean_dtw_distance,527.9523682819945
ours w/o vlm,flocking,spatial_variance,0.1644567285739209
ours w/o vlm,flocking,mean_dtw_distance,439.75808917715045
ours w/o vlm,flocking,spatial_variance,0.15931177256111606
ours w/o vlm,flocking,mean_dtw_distance,450.95687186645955
ours w/o vlm,flocking,spatial_variance,0.1838577160136832
ours w/o vlm,flocking,mean_dtw_distance,400.3398459141025
ours w/o vlm,flocking,spatial_variance,0.32008765708410203
ours w/o vlm,flocking,mean_dtw_distance,579.9007499109807
ours w/o vlm,flocking,spatial_variance,0.11371771682333282
ours w/o vlm,flocking,mean_dtw_distance,407.1741698076102
ours w/o vlm,flocking,spatial_variance,0.14251622099318836
ours w/o vlm,flocking,mean_dtw_distance,650.6155507293969
ours w/o vlm,flocking,spatial_variance,0.10818753594664046
ours w/o vlm,flocking,mean_dtw_distance,390.35297182533526
ours w/o vlm,flocking,spatial_variance,0.42297411865948475
ours w/o vlm,flocking,mean_dtw_distance,565.655014888817
ours w/o vlm,flocking,spatial_variance,0.13780230136802707
ours w/o vlm,flocking,mean_dtw_distance,646.2339361713795
ours w/o vlm,flocking,spatial_variance,0.10761924274970583
ours w/o vlm,flocking,mean_dtw_distance,383.26270627817104
ours w/o vlm,flocking,spatial_variance,0.5463525450780206
ours w/o vlm,flocking,mean_dtw_distance,874.8203896925462
ours w/o vlm,flocking,spatial_variance,0.3349940340547449
ours w/o vlm,flocking,mean_dtw_distance,1245.1472056201656
ours w/o vlm,flocking,spatial_variance,0.26191462785509045
ours w/o vlm,flocking,mean_dtw_distance,1104.013428195328
ours w/o vlm,flocking,spatial_variance,0.1062729838218901
ours w/o vlm,flocking,mean_dtw_distance,364.8716394575876
ours w/o vlm,flocking,spatial_variance,0.12868935824770242
ours w/o vlm,flocking,mean_dtw_distance,405.3583486562117
ours w/o vlm,flocking,spatial_variance,0.3327075233815024
ours w/o vlm,flocking,mean_dtw_distance,116.83969422048473
ours w/o vlm,flocking,spatial_variance,0.11243285048870275
ours w/o vlm,flocking,mean_dtw_distance,405.17052000158435
ours w/o vlm,flocking,spatial_variance,0.11316259214980243
ours w/o vlm,flocking,mean_dtw_distance,372.85586198125577
ours w/o vlm,flocking,spatial_variance,0.4880582553250687
ours w/o vlm,flocking,mean_dtw_distance,792.2665183623385
ours w/o vlm,flocking,spatial_variance,0.1004149740957124
ours w/o vlm,flocking,mean_dtw_distance,393.7975777393728
ours w/o vlm,flocking,spatial_variance,0.19490733759630674
ours w/o vlm,flocking,mean_dtw_distance,456.01526497601475
ours w/o vlm,flocking,spatial_variance,0.1789220700464514
ours w/o vlm,flocking,mean_dtw_distance,446.1739310722972
ours w/o vlm,flocking,spatial_variance,0.1719978103588689
ours w/o vlm,flocking,mean_dtw_distance,466.8965643571402
ours w/o vlm,flocking,spatial_variance,0.11730217591423395
ours w/o vlm,flocking,mean_dtw_distance,395.2128027900912
ours w/o vlm,flocking,spatial_variance,0.10461174403577853
ours w/o vlm,flocking,mean_dtw_distance,387.03603453074805
ours w/o vlm,flocking,spatial_variance,0.10980225601914677
ours w/o vlm,flocking,mean_dtw_distance,368.3071347715334
ours w/o vlm,flocking,spatial_variance,0.10560687944579597
ours w/o vlm,flocking,mean_dtw_distance,411.0787952956948
ours w/o vlm,flocking,spatial_variance,0.1317010302195642
ours w/o vlm,flocking,mean_dtw_distance,412.0679337875482
ours w/o vlm,flocking,spatial_variance,0.12521822811409472
ours w/o vlm,flocking,mean_dtw_distance,391.4734377310697
ours w/o vlm,flocking,spatial_variance,0.3420009424010402
ours w/o vlm,flocking,mean_dtw_distance,119.00597411990611
ours w/o vlm,flocking,spatial_variance,0.152887190980252
ours w/o vlm,flocking,mean_dtw_distance,446.3150283856671
ours w/o vlm,flocking,spatial_variance,0.14552330306270456
ours w/o vlm,flocking,mean_dtw_distance,383.46520023172997
ours w/o vlm,flocking,spatial_variance,0.1509505827544948
ours w/o vlm,flocking,mean_dtw_distance,399.7166226039626
ours w/o vlm,flocking,spatial_variance,0.1345818375544791
ours w/o vlm,flocking,mean_dtw_distance,382.2908644257765
ours w/o vlm,flocking,spatial_variance,0.27157102740173467
ours w/o vlm,flocking,mean_dtw_distance,108.17612902294294
ours w/o vlm,flocking,spatial_variance,0.16503937485610098
ours w/o vlm,flocking,mean_dtw_distance,419.3728151833886
ours w/o vlm,flocking,spatial_variance,0.11448148391652418
ours w/o vlm,flocking,mean_dtw_distance,391.7323973873826
ours w/o vlm,flocking,spatial_variance,0.11983736199611804
ours w/o vlm,flocking,mean_dtw_distance,384.6239223039533
ours w/o vlm,flocking,spatial_variance,0.10791738609376453
ours w/o vlm,flocking,mean_dtw_distance,393.0495761658894
ours w/o vlm,flocking,spatial_variance,0.20549876653350868
ours w/o vlm,flocking,mean_dtw_distance,602.1291441269416
ours w/o vlm,flocking,spatial_variance,0.11476941410821373
ours w/o vlm,flocking,mean_dtw_distance,404.80055889143426
ours w/o vlm,flocking,spatial_variance,0.11870279066629578
ours w/o vlm,flocking,mean_dtw_distance,414.35203744152386
ours w/o vlm,flocking,spatial_variance,0.11425576589386112
ours w/o vlm,flocking,mean_dtw_distance,375.3976745748802
ours w/o vlm,flocking,spatial_variance,0.10045095075443843
ours w/o vlm,flocking,mean_dtw_distance,368.7581270956492
ours w/o vlm,flocking,spatial_variance,0.1450943269449323
ours w/o vlm,flocking,mean_dtw_distance,375.9263284430759
ours w/o vlm,flocking,spatial_variance,0.2092289402474658
ours w/o vlm,flocking,mean_dtw_distance,625.397103756828
ours w/o vlm,flocking,spatial_variance,0.1169147804663232
ours w/o vlm,flocking,mean_dtw_distance,436.420684800069
ours w/o vlm,flocking,spatial_variance,0.14928915489817826
ours w/o vlm,flocking,mean_dtw_distance,395.13194671242326
ours w/o vlm,flocking,spatial_variance,0.13588244273467356
ours w/o vlm,flocking,mean_dtw_distance,522.4810236098225
ours w/o vlm,flocking,spatial_variance,0.12152431143555906
ours w/o vlm,flocking,mean_dtw_distance,370.3806688834788
ours w/o vlm,flocking,spatial_variance,0.09900854437471077
ours w/o vlm,flocking,mean_dtw_distance,421.65440168693397
ours w/o vlm,flocking,spatial_variance,0.11064482064218548
ours w/o vlm,flocking,mean_dtw_distance,425.76953226926656
ours w/o vlm,flocking,spatial_variance,0.10205029748263816
ours w/o vlm,flocking,mean_dtw_distance,403.88889706109705
ours w/o vlm,flocking,spatial_variance,0.14957630008250505
ours w/o vlm,flocking,mean_dtw_distance,374.493864011928
ours w/o vlm,flocking,spatial_variance,0.23931041886558552
ours w/o vlm,flocking,mean_dtw_distance,587.5935206740259
ours w/o vlm,flocking,spatial_variance,0.2869719227598136
ours w/o vlm,flocking,mean_dtw_distance,112.63013383119554
ours w/o vlm,flocking,spatial_variance,0.1335214004053003
ours w/o vlm,flocking,mean_dtw_distance,375.06146001175375
ours w/o vlm,flocking,spatial_variance,0.10453658096944057
ours w/o vlm,flocking,mean_dtw_distance,374.95525444959156
ours w/o vlm,flocking,spatial_variance,0.10323057805331504
ours w/o vlm,flocking,mean_dtw_distance,382.8747549477225
ours w/o vlm,flocking,spatial_variance,0.15249375231011914
ours w/o vlm,flocking,mean_dtw_distance,406.29781550898537
ours w/o vlm,flocking,spatial_variance,0.09456238894603251
ours w/o vlm,flocking,mean_dtw_distance,399.90301442741327
ours w/o vlm,flocking,spatial_variance,0.15158149951423872
ours w/o vlm,flocking,mean_dtw_distance,443.1482865723932
ours w/o vlm,flocking,spatial_variance,0.13602106931617966
ours w/o vlm,flocking,mean_dtw_distance,408.4404579684792
ours w/o vlm,flocking,spatial_variance,0.1487869804216777
ours w/o vlm,flocking,mean_dtw_distance,442.19273885129604
ours w/o vlm,flocking,spatial_variance,0.10533571931002828
ours w/o vlm,flocking,mean_dtw_distance,355.5109860514505
ours w/o vlm,flocking,spatial_variance,0.12991692385151601
ours w/o vlm,flocking,mean_dtw_distance,513.1714774648328
ours w/o vlm,flocking,spatial_variance,0.11042564922822154
ours w/o vlm,flocking,mean_dtw_distance,385.3532160204894
ours w/o vlm,flocking,spatial_variance,0.1212461645661281
ours w/o vlm,flocking,mean_dtw_distance,404.7559675969909
ours w/o vlm,flocking,spatial_variance,0.1986478472469958
ours w/o vlm,flocking,mean_dtw_distance,411.53694746484786
ours w/o vlm,flocking,spatial_variance,0.11497097276224054
ours w/o vlm,flocking,mean_dtw_distance,377.4489143802593
ours w/o vlm,flocking,spatial_variance,0.28697679176524604
ours w/o vlm,flocking,mean_dtw_distance,112.43760099542125
ours w/o vlm,flocking,spatial_variance,0.10157999430743583
ours w/o vlm,flocking,mean_dtw_distance,475.503916299457
ours w/o vlm,flocking,spatial_variance,0.10490064952870151
ours w/o vlm,flocking,mean_dtw_distance,386.9211955554118
ours w/o vlm,flocking,spatial_variance,0.33162610784298563
ours w/o vlm,flocking,mean_dtw_distance,116.4473079238866
ours w/o vlm,flocking,spatial_variance,0.291852473921032
ours w/o vlm,flocking,mean_dtw_distance,1160.470492699699
ours w/o vlm,flocking,spatial_variance,0.09688167169172394
ours w/o vlm,flocking,mean_dtw_distance,453.7210147498401
ours w/o vlm,flocking,spatial_variance,0.1037694026942596
ours w/o vlm,flocking,mean_dtw_distance,374.93938880134993
ours w/o vlm,flocking,spatial_variance,0.24332222694811909
ours w/o vlm,flocking,mean_dtw_distance,507.848469808608
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.8333333333333334
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.6666666666666666
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.6666666666666666
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.6666666666666666
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,1.0
ours w/o vlm,crossing,target_achievement_ratio,0.0
ours w/o vlm,aggregation,max_min_distance,0.48763818233602446
ours w/o vlm,aggregation,max_min_distance,0.13216386489680942
ours w/o vlm,aggregation,max_min_distance,0.009007962318659885
ours w/o vlm,aggregation,max_min_distance,0.7596955360870157
ours w/o vlm,aggregation,max_min_distance,0.021916972762089065
ours w/o vlm,aggregation,max_min_distance,2.808328542670753
ours w/o vlm,aggregation,max_min_distance,0.027320921143127397
ours w/o vlm,aggregation,max_min_distance,0.009767290895964426
ours w/o vlm,aggregation,max_min_distance,0.13210015893158555
ours w/o vlm,aggregation,max_min_distance,1.143846840630981
ours w/o vlm,aggregation,max_min_distance,2.6724981598979145
ours w/o vlm,aggregation,max_min_distance,3.432154264028796
ours w/o vlm,aggregation,max_min_distance,0.012948533512174065
ours w/o vlm,aggregation,max_min_distance,3.357060069135922
ours w/o vlm,aggregation,max_min_distance,1.943828259169704
ours w/o vlm,aggregation,max_min_distance,0.03621273255810262
ours w/o vlm,aggregation,max_min_distance,0.08291947012495132
ours w/o vlm,aggregation,max_min_distance,0.13026709673486736
ours w/o vlm,aggregation,max_min_distance,2.0603618244792914
ours w/o vlm,aggregation,max_min_distance,0.010121416743649775
ours w/o vlm,aggregation,max_min_distance,1.6384606546687555
ours w/o vlm,aggregation,max_min_distance,1.5926104048549998
ours w/o vlm,aggregation,max_min_distance,0.032956552092785696
ours w/o vlm,aggregation,max_min_distance,2.2132517339999485
ours w/o vlm,aggregation,max_min_distance,0.03395274646350463
ours w/o vlm,aggregation,max_min_distance,0.9175164226972357
ours w/o vlm,aggregation,max_min_distance,0.03599676361352702
ours w/o vlm,aggregation,max_min_distance,0.07105423667677768
ours w/o vlm,aggregation,max_min_distance,1.3776803689389407
ours w/o vlm,aggregation,max_min_distance,0.07306135200619723
ours w/o vlm,aggregation,max_min_distance,0.023270104050945234
ours w/o vlm,aggregation,max_min_distance,2.7928854971617505
ours w/o vlm,aggregation,max_min_distance,0.13224674788839674
ours w/o vlm,aggregation,max_min_distance,0.17090928686123885
ours w/o vlm,aggregation,max_min_distance,1.6828795754591048
ours w/o vlm,aggregation,max_min_distance,2.3634479879446952
ours w/o vlm,aggregation,max_min_distance,0.15361098259456824
ours w/o vlm,aggregation,max_min_distance,0.00017445800305632142
ours w/o vlm,aggregation,max_min_distance,1.0983183661638083
ours w/o vlm,aggregation,max_min_distance,0.13214509432851734
ours w/o vlm,aggregation,max_min_distance,2.2799017022956183
ours w/o vlm,aggregation,max_min_distance,2.6522414580158067
ours w/o vlm,aggregation,max_min_distance,1.0645979384090338
ours w/o vlm,aggregation,max_min_distance,0.00729537244083861
ours w/o vlm,aggregation,max_min_distance,1.6025019206401032
ours w/o vlm,aggregation,max_min_distance,1.477803507713326
ours w/o vlm,aggregation,max_min_distance,0.0005534429779367467
ours w/o vlm,aggregation,max_min_distance,0.0024008507086629716
ours w/o vlm,aggregation,max_min_distance,0.3412445262256158
ours w/o vlm,aggregation,max_min_distance,0.021515598637926098
ours w/o vlm,aggregation,max_min_distance,4.770918383303994
ours w/o vlm,aggregation,max_min_distance,0.01081258856434733
ours w/o vlm,aggregation,max_min_distance,0.0066155362975585386
ours w/o vlm,aggregation,max_min_distance,-0.0050004030559924195
ours w/o vlm,aggregation,max_min_distance,0.1315685955305706
ours w/o vlm,aggregation,max_min_distance,2.5039655265797864
ours w/o vlm,aggregation,max_min_distance,0.009269304985374288
ours w/o vlm,aggregation,max_min_distance,0.3649459850121531
ours w/o vlm,aggregation,max_min_distance,2.267423738813509
ours w/o vlm,aggregation,max_min_distance,2.216414812833764
ours w/o vlm,aggregation,max_min_distance,0.005000365236966481
ours w/o vlm,aggregation,max_min_distance,0.005184077711816282
ours w/o vlm,aggregation,max_min_distance,1.3686991852599362
ours w/o vlm,aggregation,max_min_distance,1.5915855887556039
ours w/o vlm,aggregation,max_min_distance,2.711946697549973
ours w/o vlm,aggregation,max_min_distance,0.027675168058060473
ours w/o vlm,aggregation,max_min_distance,2.7483662919326357
ours w/o vlm,aggregation,max_min_distance,0.04147415864148904
ours w/o vlm,aggregation,max_min_distance,0.11793517077579396
ours w/o vlm,aggregation,max_min_distance,0.05347848605420347
ours w/o vlm,aggregation,max_min_distance,2.6267767183153437
ours w/o vlm,aggregation,max_min_distance,0.08087382934426879
ours w/o vlm,aggregation,max_min_distance,0.05209801571432304
ours w/o vlm,aggregation,max_min_distance,0.014343637863038328
ours w/o vlm,aggregation,max_min_distance,1.889858890052911
ours w/o vlm,aggregation,max_min_distance,0.07463039063766563
ours w/o vlm,aggregation,max_min_distance,-0.01132277860689726
ours w/o vlm,aggregation,max_min_distance,0.003172226320603544
ours w/o vlm,aggregation,max_min_distance,1.717150461608492
ours w/o vlm,aggregation,max_min_distance,2.4476499513084895
ours w/o vlm,aggregation,max_min_distance,1.7366264403803227
ours w/o vlm,aggregation,max_min_distance,0.030907263341027114
ours w/o vlm,aggregation,max_min_distance,2.3443864477215492
ours w/o vlm,aggregation,max_min_distance,0.6382168737387655
ours w/o vlm,aggregation,max_min_distance,0.4900583733705542
ours w/o vlm,aggregation,max_min_distance,1.9972452310444198
ours w/o vlm,aggregation,max_min_distance,2.110348038274598
ours w/o vlm,aggregation,max_min_distance,0.07421168372831793
ours w/o vlm,aggregation,max_min_distance,1.965210884400651
ours w/o vlm,aggregation,max_min_distance,0.006020872442234149
ours w/o vlm,aggregation,max_min_distance,0.5818068455287961
ours w/o vlm,aggregation,max_min_distance,1.8469024614570866
ours w/o vlm,aggregation,max_min_distance,1.5187017214465168
ours w/o vlm,aggregation,max_min_distance,0.020634000457859875
ours w/o vlm,aggregation,max_min_distance,0.5737358399037018
ours w/o vlm,aggregation,max_min_distance,1.8351927350954178
ours w/o vlm,aggregation,max_min_distance,0.019663002273440672
ours w/o vlm,aggregation,max_min_distance,0.009952936823372172
ours w/o vlm,aggregation,max_min_distance,0.031312099138752214
ours w/o vlm,aggregation,max_min_distance,0.05255539758475275
ours w/o vlm,shaping,procrustes_distance,0.00021325117332614214
ours w/o vlm,shaping,procrustes_distance,0.0004471765888990499
ours w/o vlm,shaping,procrustes_distance,0.00014813624559803585
ours w/o vlm,shaping,procrustes_distance,0.00015505667442295782
ours w/o vlm,shaping,procrustes_distance,0.3929747618316707
ours w/o vlm,shaping,procrustes_distance,0.00014361825831833784
ours w/o vlm,shaping,procrustes_distance,9.682506395485402e-05
ours w/o vlm,shaping,procrustes_distance,0.05197323844831206
ours w/o vlm,shaping,procrustes_distance,0.8405244862894279
ours w/o vlm,shaping,procrustes_distance,0.0003984548375552518
ours w/o vlm,shaping,procrustes_distance,0.0002971035719368998
ours w/o vlm,shaping,procrustes_distance,0.8680827255748881
ours w/o vlm,shaping,procrustes_distance,0.00011197707728486883
ours w/o vlm,shaping,procrustes_distance,0.0001353478184666621
ours w/o vlm,shaping,procrustes_distance,8.050875982936223e-05
ours w/o vlm,shaping,procrustes_distance,0.7222806686772429
ours w/o vlm,shaping,procrustes_distance,0.00011168503244454079
ours w/o vlm,shaping,procrustes_distance,0.5088540265372624
ours w/o vlm,shaping,procrustes_distance,0.0004927755166058909
ours w/o vlm,shaping,procrustes_distance,0.00031655316469265314
ours w/o vlm,shaping,procrustes_distance,0.00026846029834431246
ours w/o vlm,shaping,procrustes_distance,0.000153607600085848
ours w/o vlm,shaping,procrustes_distance,0.00013460649255238858
ours w/o vlm,shaping,procrustes_distance,0.0008179038276849915
ours w/o vlm,shaping,procrustes_distance,0.0002711671066476128
ours w/o vlm,shaping,procrustes_distance,0.00021484469716513642
ours w/o vlm,shaping,procrustes_distance,3.7192271635966445e-05
ours w/o vlm,shaping,procrustes_distance,0.00018661051104462318
ours w/o vlm,shaping,procrustes_distance,0.000184095049208108
ours w/o vlm,shaping,procrustes_distance,0.00016359583152072458
ours w/o vlm,shaping,procrustes_distance,0.6128059436388731
ours w/o vlm,shaping,procrustes_distance,5.415044899060639e-05
ours w/o vlm,shaping,procrustes_distance,0.00036152422997527526
ours w/o vlm,shaping,procrustes_distance,0.0005011198701629311
ours w/o vlm,shaping,procrustes_distance,0.0002737876634514465
ours w/o vlm,shaping,procrustes_distance,0.0002553903452219129
ours w/o vlm,shaping,procrustes_distance,6.733192425037908e-05
ours w/o vlm,shaping,procrustes_distance,0.00024980750678969447
ours w/o vlm,shaping,procrustes_distance,0.7042922538159986
ours w/o vlm,shaping,procrustes_distance,0.00022731770291609834
ours w/o vlm,shaping,procrustes_distance,0.8114827655302471
ours w/o vlm,shaping,procrustes_distance,3.341159990807993e-05
ours w/o vlm,shaping,procrustes_distance,0.6114539377342695
ours w/o vlm,shaping,procrustes_distance,0.00028594341314980667
ours w/o vlm,shaping,procrustes_distance,0.0005215612221194379
ours w/o vlm,shaping,procrustes_distance,0.919372225680626
ours w/o vlm,shaping,procrustes_distance,0.4685319336985155
ours w/o vlm,shaping,procrustes_distance,0.7398100074996458
ours w/o vlm,shaping,procrustes_distance,0.9498160835080485
ours w/o vlm,shaping,procrustes_distance,0.00037221756779214885
ours w/o vlm,shaping,procrustes_distance,0.00017771687043274974
ours w/o vlm,shaping,procrustes_distance,0.0004795419923127677
ours w/o vlm,shaping,procrustes_distance,0.0004901580737859132
ours w/o vlm,shaping,procrustes_distance,0.00029207464099512424
ours w/o vlm,shaping,procrustes_distance,0.00043342422593983175
ours w/o vlm,shaping,procrustes_distance,0.00024355665864643424
ours w/o vlm,shaping,procrustes_distance,0.00016169594067046617
ours w/o vlm,shaping,procrustes_distance,0.0026524339798989854
ours w/o vlm,shaping,procrustes_distance,0.00017373344014257617
ours w/o vlm,shaping,procrustes_distance,0.0003716223578425175
ours w/o vlm,shaping,procrustes_distance,0.00047734985933861493
ours w/o vlm,shaping,procrustes_distance,0.0007838672340297182
ours w/o vlm,shaping,procrustes_distance,0.03136349854669536
ours w/o vlm,shaping,procrustes_distance,0.0003393811106968518
ours w/o vlm,shaping,procrustes_distance,8.221372980306785e-05
ours w/o vlm,shaping,procrustes_distance,0.01041562559317543
ours w/o vlm,shaping,procrustes_distance,0.0002139019824931096
ours w/o vlm,shaping,procrustes_distance,0.00026947039846774476
ours w/o vlm,shaping,procrustes_distance,0.6014118479932556
ours w/o vlm,shaping,procrustes_distance,0.00044304587997562214
ours w/o vlm,shaping,procrustes_distance,0.0004396557695696474
ours w/o vlm,shaping,procrustes_distance,0.00025573640882163074
ours w/o vlm,shaping,procrustes_distance,4.301961223670171e-06
ours w/o vlm,shaping,procrustes_distance,0.00033248060895981
